Win/Loss Ratio Diff,Point Differential Diff
2.647058823529411242e-01,4.200000000000000000e+02
2.555147058823529216e-01,4.300000000000000000e+02
1.531440162271805461e-01,3.130000000000000000e+02
1.470588235294117974e-01,2.190000000000000000e+02
2.555147058823529216e-01,2.700000000000000000e+02
3.297682709447413707e-02,1.430000000000000000e+02
2.647058823529411242e-01,2.870000000000000000e+02
2.941176470588234837e-01,4.110000000000000000e+02
1.966386554621848415e-01,1.490000000000000000e+02
3.073593073593073877e-01,4.860000000000000000e+02
6.060606060606055223e-02,1.230000000000000000e+02
9.753787878787878451e-02,-7.200000000000000000e+01
1.287878787878787845e-01,6.600000000000000000e+01
2.676767676767676241e-01,3.050000000000000000e+02
-3.297682709447413707e-02,-1.430000000000000000e+02
2.779886148007589819e-01,3.370000000000000000e+02
2.183600713012476824e-01,1.450000000000000000e+02
1.378676470588234837e-01,7.200000000000000000e+01
1.562500000000000000e-01,3.100000000000000000e+02
1.250000000000000000e-01,1.580000000000000000e+02
3.125000000000000000e-02,2.500000000000000000e+01
-1.287878787878787845e-01,-6.600000000000000000e+01
1.575757575757575912e-01,4.470000000000000000e+02
7.575757575757569029e-03,2.560000000000000000e+02
8.015640273704793817e-02,3.020000000000000000e+02
1.654411764705887578e-02,-2.000000000000000000e+01
2.941176470588235947e-02,1.600000000000000000e+01
1.241830065359477153e-01,1.600000000000000000e+02
1.470588235294116863e-01,2.830000000000000000e+02
6.684491978609619078e-02,2.400000000000000000e+02
2.941176470588235947e-02,1.240000000000000000e+02
-3.832442067736185898e-02,2.700000000000000000e+01
1.955034213098738594e-02,9.200000000000000000e+01
1.286764705882348370e-02,6.800000000000000000e+01
4.227941176470584317e-02,2.280000000000000000e+02
-3.125000000000000000e-02,-2.500000000000000000e+01
4.227941176470584317e-02,1.930000000000000000e+02
0.000000000000000000e+00,-7.000000000000000000e+01
7.899159663865540359e-02,1.950000000000000000e+02
-2.941176470588235947e-02,-1.240000000000000000e+02
-1.470588235294117974e-01,-2.190000000000000000e+02
-1.378151260504201225e-01,7.900000000000000000e+01
-2.260504201680672010e-01,-1.190000000000000000e+02
-1.966386554621848415e-01,-1.490000000000000000e+02
7.460317460317456018e-02,2.650000000000000000e+02
-1.654411764705882026e-01,-1.990000000000000000e+02
-9.375000000000000000e-02,-2.990000000000000000e+02
8.444022770398473821e-02,2.550000000000000000e+02
-1.378676470588234837e-01,4.000000000000000000e+01
-2.225378787878787845e-01,-1.150000000000000000e+02
-1.378676470588234837e-01,-7.200000000000000000e+01
-2.116935483870963086e-02,9.400000000000000000e+01
-2.555147058823529216e-01,-2.700000000000000000e+02
-9.090909090909093937e-02,8.700000000000000000e+01
-1.278409090909090606e-01,-1.150000000000000000e+02
9.375000000000000000e-02,2.990000000000000000e+02
-9.753787878787878451e-02,7.200000000000000000e+01
8.585858585858585634e-02,7.400000000000000000e+01
1.114081996434936883e-01,4.900000000000000000e+01
-2.016806722689079567e-02,-4.500000000000000000e+01
-9.625668449197855026e-02,-9.400000000000000000e+01
-6.684491978609619078e-02,-2.400000000000000000e+02
-8.088235294117651630e-02,-5.900000000000000000e+01
-1.250000000000000000e-01,-1.580000000000000000e+02
-3.787878787878784514e-02,-4.700000000000000000e+01
-7.575757575757569029e-03,-2.560000000000000000e+02
1.087344028520499384e-01,1.120000000000000000e+02
1.818181818181818787e-01,5.000000000000000000e+01
-6.060606060606055223e-02,-1.230000000000000000e+02
1.013257575757575690e-01,1.560000000000000000e+02
4.188948306595363658e-02,-4.300000000000000000e+01
-4.188948306595363658e-02,4.300000000000000000e+01
-2.183600713012476824e-01,-1.450000000000000000e+02
-1.087344028520499384e-01,-1.120000000000000000e+02
-2.941176470588234837e-01,-4.110000000000000000e+02
-1.818181818181818787e-01,-5.000000000000000000e+01
-1.013257575757575690e-01,-1.560000000000000000e+02
-2.555147058823529216e-01,-4.300000000000000000e+02
3.787878787878784514e-02,4.700000000000000000e+01
-1.838235294117651630e-02,-1.100000000000000000e+01
1.838235294117651630e-02,1.100000000000000000e+01
2.016806722689079567e-02,4.500000000000000000e+01
-2.941176470588235947e-02,-1.600000000000000000e+01
9.625668449197855026e-02,9.400000000000000000e+01
-8.912655971479499506e-03,-1.400000000000000000e+02
6.543778801843325166e-02,1.760000000000000000e+02
-1.114081996434936883e-01,-4.900000000000000000e+01
-4.227941176470584317e-02,-2.280000000000000000e+02
8.912655971479499506e-03,1.400000000000000000e+02
8.088235294117651630e-02,5.900000000000000000e+01
-8.585858585858585634e-02,-7.400000000000000000e+01
-6.535947712418299638e-02,1.300000000000000000e+01
-1.241830065359477153e-01,-1.600000000000000000e+02
-7.460317460317456018e-02,-2.650000000000000000e+02
-2.676767676767676241e-01,-3.050000000000000000e+02
-1.125541125541129617e-02,-2.280000000000000000e+02
-7.899159663865540359e-02,-1.950000000000000000e+02
9.090909090909093937e-02,-8.700000000000000000e+01
2.225378787878787845e-01,1.150000000000000000e+02
2.317647058823528727e-01,3.660000000000000000e+02
2.260504201680672010e-01,1.190000000000000000e+02
1.278409090909090606e-01,1.150000000000000000e+02
-8.215010141987821868e-02,-1.790000000000000000e+02
1.378151260504201225e-01,-7.900000000000000000e+01
-8.444022770398473821e-02,-2.550000000000000000e+02
-4.894327030033363002e-02,-2.000000000000000000e+00
1.654411764705882026e-01,1.990000000000000000e+02
1.378676470588234837e-01,-4.000000000000000000e+01
